depth D2,Apical_Width,Apical_Height
412.237,402.4446218,368.8911063
457.689,273.1757449,453.9073665
490.77,331.6371281,484.2486553
495.334,301.2147051,471.1608536
538.941,297.3592443,432.6988195
462.617,311.0165389,384.4861346
540.367,276.9885875,512.039182
577.765,299.2874285,456.6371922
602.735,292.52707,379.6577972
553.232,251.1532702,429.2998941
499.931,319.280175,434.1725985
544.815,243.2166003,414.4537119
502.06,355.2956527,446.0845377
447.852,286.6133977,376.9098166
481.057,220.6776591,398.8909213
