depth D2,Dendritic_Length,Dendritic_Volume,Dendritic_Width,Dendritic_Branchpoints,Dendritic_Branchorder_Avg,Dendritic_Branchorder_Max,Dendritic_Endpoint_Avg,Dendritic_Endpoint_Max,Dendritic_Endpoint_Sum,Dendritic_Endpoint_Centroid,Apical_Length,Apical_Volume,Apical_Width,Apical_Height,Apical_Endpoint_Centroid,Basal_Length,Basal_Volume,Basal_Width,Basal_Height,Basal_Branchpoints
1193.52,6993.342793,148711828.5,475.9695034,35,2.514285714,6,264.59717,1103.546813,11113.08114,114.709642,2969.646723,58612393.56,322.294736,1132.502196,367.8196931,4023.696071,31750714.83,475.9695034,281.4311561,19
1238.49,7201.498019,161368271.8,495.0864001,27,2.666666667,8,292.2681679,1163.131198,10521.65405,212.5976169,3246.835577,55417809.86,302.2260307,1213.600471,481.1343139,3954.662442,32363424.16,486.0381253,286.5264429,15
1141.06,5015.322762,84506250.57,381.3800949,20,1.45,6,213.198732,1094.012198,5969.564495,179.7610538,2411.629076,25966954.95,245.3381723,1099.707744,416.364564,2603.693686,10025728.95,381.3800949,142.7544625,12
995.801,7899.588429,94889221.16,421.2497931,40,3.575,9,289.4771036,921.1802085,14763.33228,148.3749552,3234.979597,47308699.28,320.5500035,981.2533362,364.7434877,4664.608833,20818122.59,421.2497931,234.7721281,22
1023.18,9517.244333,123854928.3,493.3075157,46,3.434782609,7,251.3256788,879.1259013,13571.58665,133.9024689,3529.638341,58817115.85,369.549836,870.341287,396.2322713,5987.605992,29545291.08,486.066765,252.5969481,28
1045.21,5429.431377,91218723.43,410.4558861,25,3.72,8,329.7046908,944.7938281,10880.2548,215.7360563,2300.488393,33784179.3,267.8396622,943.7256805,488.332796,3128.942984,17808309.96,390.1561571,233.981961,14
1068.44,6884.988725,132096202.2,477.0116899,37,2.324324324,8,249.7941227,971.6758445,12239.91201,142.5807575,2565.603255,64650414.66,366.1670526,970.8492491,413.9241774,4319.385471,35948967.56,475.1834621,318.4887164,21
1004.75,6195.504152,121786214.1,479.9036979,23,2.304347826,6,311.482531,931.9279163,10278.92352,170.8899525,3077.301232,93221663.18,428.5891207,1050.31236,377.9210638,3118.202921,22475455.99,451.3078502,222.5176708,10
1013.26,10135.28552,155000673.9,541.1836898,61,3.967213115,13,279.020707,954.0798907,18694.38737,127.448138,4246.147077,72081886.76,389.6484202,951.7473439,395.6424169,5889.138446,39266031.97,536.1228121,287.674513,35
935.869,10148.97496,131471086.5,489.3665999,52,2.288461538,7,222.189052,922.082401,13109.15407,93.99063555,3961.647985,77847078.12,405.959861,964.379861,284.01231,6187.32697,31343987.89,463.9712357,305.8378517,32
1096.96,7102.686722,110125347.8,439.5310638,40,2.85,9,277.9985911,1059.409336,13621.93096,150.2551009,3799.237724,79155501.71,390.2989514,1057.516446,416.566905,3303.448998,13091701.5,409.8432113,156.0812672,20
1258.8,6815.176184,136894017.1,454.5233554,26,2.461538462,5,268.4395009,1190.329899,9932.261535,99.42010656,3065.994572,60728066.48,323.9334312,1189.484952,305.9849385,3749.181612,23899391.66,454.5233554,234.3540107,16
1035.88,10298.05188,165905713.7,523.7076692,44,2.704545455,8,247.3152508,1035.753244,12613.07779,123.8478294,5302.22054,141400902.6,499.5919099,1136.880401,257.2523931,4995.831341,39774323.14,510.5652061,305.279414,19
1118.42,5765.110599,77733761.19,349.4363052,23,1.695652174,6,229.7047181,1120.78703,6661.436824,147.3435018,2780.858709,33178670.27,243.6694355,1131.573083,380.8241928,2984.25189,16409612.8,330.6801486,300.188064,14
1167.81,8523.804917,175010500.6,536.0693692,42,1.928571429,5,196.2159311,1050.385802,9614.580624,74.91308002,2610.06829,78556365.79,384.4083882,1068.291783,286.4577933,5913.736627,40349862.15,503.7083996,341.3301453,35
1094.9,6466.103835,102156102.6,427.3279094,32,2.625,7,235.1214756,1003.184479,8934.616073,129.330576,4069.274856,76893467.62,409.707107,995.4642672,250.620239,2396.828979,13608888.79,338.0628916,238.2450994,10
1050.27,5879.128373,83014157.07,389.5341895,32,2.1875,6,222.7044532,979.3476561,8685.473676,117.2532102,2269.034575,27388655.34,256.1466873,970.4481555,452.4354388,3610.093798,14706691.89,368.3323496,218.6914966,24
1278.25,6530.325294,123246835.5,415.58863,30,1.8,4,297.0539653,1225.286738,10693.94275,108.8682104,2263.897479,29632916.43,243.0823413,1214.571827,485.6986435,4266.427815,30085956.24,415.58863,348.8507411,23
